년월,시도,시군구,충전요금,고객호수,판매량,판매수입
2025-04,경상북도,봉화군,사업자용,40,43487,19147587
2025-04,경상북도,상주시,자가용,381,273642,41006940
2025-04,경상북도,상주시,사업자용,187,320955,65029766
2025-04,경상북도,성주군,자가용,246,120421,56619054
2025-04,경상북도,성주군,사업자용,115,228565,47006018
2025-04,경상북도,안동시,자가용,404,331595,50117000
2025-04,경상북도,안동시,사업자용,394,650352,120852949
2025-04,경상북도,영덕군,자가용,159,90561,16052739
2025-04,경상북도,영덕군,사업자용,50,100865,25722262
2025-04,경상북도,영양군,자가용,44,27476,4527201
2025-04,경상북도,영양군,사업자용,38,28849,12023865
2025-04,경상북도,영주시,자가용,290,168562,24447977
2025-04,경상북도,영주시,사업자용,196,229680,55560464
2025-04,경상북도,영천시,자가용,276,338613,45980081
2025-04,경상북도,영천시,사업자용,253,332425,72808269
2025-04,경상북도,예천군,자가용,219,113827,17340185
2025-04,경상북도,예천군,사업자용,110,223674,36087200
2025-04,경상북도,울릉군,자가용,143,26811,5490711
2025-04,경상북도,울릉군,사업자용,14,32580,6400549
2025-04,경상북도,울진군,자가용,163,97113,14768273
2025-04,경상북도,울진군,사업자용,116,163193,41202501
2025-04,경상북도,의성군,자가용,162,87969,16211389
2025-04,경상북도,의성군,사업자용,60,82485,22373793
2025-04,경상북도,청도군,자가용,258,120742,18875464
2025-04,경상북도,청도군,사업자용,75,266402,43155633
2025-04,경상북도,청송군,자가용,109,86286,12178728
2025-04,경상북도,청송군,사업자용,73,99986,30195976
2025-04,경상북도,칠곡군,자가용,274,184422,28528082
2025-04,경상북도,칠곡군,사업자용,281,583195,97499796
2025-04,경상북도,포항시 남구,자가용,494,570214,77193902
2025-04,경상북도,포항시 남구,사업자용,683,687492,137822596
2025-04,경상북도,포항시 북구,자가용,540,662845,92800544
2025-04,경상북도,포항시 북구,사업자용,801,1082520,184421102
2025-04,전라남도,강진군,자가용,117,48539,7311630
2025-04,전라남도,강진군,사업자용,73,70641,21790264
2025-04,전라남도,고흥군,자가용,220,87529,14377838
2025-04,전라남도,고흥군,사업자용,105,118370,26597029
2025-04,전라남도,곡성군,자가용,139,92283,13931355
2025-04,전라남도,곡성군,사업자용,63,112493,23905777
2025-04,전라남도,광양시,자가용,484,583154,77077430
2025-04,전라남도,광양시,사업자용,496,635555,117431289
2025-04,전라남도,구례군,자가용,125,43975,6697099
2025-04,전라남도,구례군,사업자용,99,87032,30123218
2025-04,전라남도,나주시,자가용,510,280987,46518813
2025-04,전라남도,나주시,사업자용,434,675726,114589690
2025-04,전라남도,담양군,자가용,336,160295,24733001
2025-04,전라남도,담양군,사업자용,145,96926,27176654
2025-04,전라남도,목포시,자가용,265,210501,34358705
2025-04,전라남도,목포시,사업자용,513,587945,103763322
2025-04,전라남도,무안군,자가용,214,125988,19545610
2025-04,전라남도,무안군,사업자용,231,296678,58693333
2025-04,전라남도,보성군,자가용,118,116507,18563360
2025-04,전라남도,보성군,사업자용,87,106912,30140495
2025-04,전라남도,순천시,자가용,753,379516,57465065
2025-04,전라남도,순천시,사업자용,714,1169839,190607818
2025-04,전라남도,신안군,자가용,99,43585,9371017
2025-04,전라남도,신안군,사업자용,79,42232,12741090
2025-04,전라남도,여수시,자가용,665,444345,64941256
2025-04,전라남도,여수시,사업자용,686,870524,162877458
2025-04,전라남도,영광군,자가용,369,196225,30335643
2025-04,전라남도,영광군,사업자용,110,160382,32731223
2025-04,전라남도,영암군,자가용,161,55923,9462067
2025-04,전라남도,영암군,사업자용,158,161955,37787274
2025-04,전라남도,완도군,자가용,104,33479,6135259
2025-04,전라남도,완도군,사업자용,82,74457,21960140
2025-04,전라남도,장성군,자가용,219,97013,14062289
2025-04,전라남도,장성군,사업자용,94,131853,30763683
2025-04,전라남도,장흥군,자가용,116,59619,9716003
2025-04,전라남도,장흥군,사업자용,79,86365,20264045
2025-04,전라남도,진도군,자가용,91,41512,6384358
2025-04,전라남도,진도군,사업자용,43,55844,15854529
2025-04,전라남도,함평군,자가용,142,57706,9373134
2025-04,전라남도,함평군,사업자용,105,151484,34459723
2025-04,전라남도,해남군,자가용,172,87232,13922633
2025-04,전라남도,해남군,사업자용,125,127064,35247433
2025-04,전라남도,화순군,자가용,196,141055,20153523
2025-04,전라남도,화순군,사업자용,172,157213,37521158
2025-04,충청남도,계룡시,자가용,61,173059,22383239
2025-04,충청남도,계룡시,사업자용,151,272551,41775251
2025-04,충청남도,공주시,자가용,405,307599,42406623
2025-04,충청남도,공주시,사업자용,294,761668,129607390
2025-04,충청남도,금산군,자가용,269,147689,22931627
2025-04,충청남도,금산군,사업자용,73,161143,29620941
2025-04,충청남도,논산시,자가용,373,266838,36780243
2025-04,충청남도,논산시,사업자용,224,393624,73278087
2025-04,충청남도,당진시,자가용,606,676158,92693872
2025-04,충청남도,당진시,사업자용,524,815444,143699657
2025-04,충청남도,보령시,자가용,291,225059,30922702
2025-04,충청남도,보령시,사업자용,239,296509,73923575
2025-04,충청남도,부여군,자가용,364,179469,25381004
2025-04,충청남도,부여군,사업자용,125,196806,42957695
2025-04,충청남도,서산시,자가용,346,255297,39041850
2025-04,충청남도,서산시,사업자용,426,786862,134939006
2025-04,충청남도,서천군,자가용,234,103558,15248613
2025-04,충청남도,서천군,사업자용,126,172203,42304065
2025-04,충청남도,아산시,자가용,680,753473,109178405
2025-04,충청남도,아산시,사업자용,1092,1463240,239451484
2025-04,충청남도,예산군,자가용,362,164434,24723992
2025-04,충청남도,예산군,사업자용,216,395775,79275907
2025-04,충청남도,청양군,자가용,123,60807,8739331
2025-04,충청남도,청양군,사업자용,56,53489,13590955
2025-04,충청남도,태안군,자가용,206,81464,12449831
2025-04,충청남도,태안군,사업자용,158,183815,45815587
2025-04,충청남도,홍성군,자가용,217,184160,28138943
2025-04,충청남도,홍성군,사업자용,276,382845,69937966
2025-04,충청남도,천안시 동남구,자가용,323,777047,99653708
2025-04,충청남도,천안시 동남구,사업자용,685,1006011,174437800
2025-04,충청남도,천안시 서북구,자가용,283,479954,69516771
2025-04,충청남도,천안시 서북구,사업자용,985,1615128,247485855
2025-04,충청북도,괴산군,자가용,201,83005,12203220
2025-04,충청북도,괴산군,사업자용,90,241411,46171825
2025-04,충청북도,단양군,자가용,171,82194,11429883
2025-04,충청북도,단양군,사업자용,75,141370,32195452
2025-04,충청북도,보은군,자가용,210,91705,13404691
2025-04,충청북도,보은군,사업자용,75,165297,31985978
2025-04,충청북도,영동군,자가용,251,110189,16144442
2025-04,충청북도,영동군,사업자용,91,120075,38425049
2025-04,충청북도,옥천군,자가용,266,121336,18624472
2025-04,충청북도,옥천군,사업자용,110,191131,39186996
2025-04,충청북도,음성군,자가용,277,165374,25016584
2025-04,충청북도,음성군,사업자용,256,473482,87550508
2025-04,충청북도,제천시,자가용,508,257413,38213667
